,tweets
106,Later grab driver ajak bbl lakkkk 🤦‍️ mrt jela qa
107,Prabowo sdh mrt ... kalah ya kalah Jadi kampret thn
108,ngeles mlh kliatan dungu mbak cb tny k mukriwi bolak mrt dr mna mo kmn yg gk bs krj dn gk bs ngomg si mukriwi loh bsny anu2 warga DKI skrg sungguh bhgia mmpunyai p.anis
109,Saya stasiun MRT pas kejadian gempa Diinfokan menit kejadian operasional berhenti gempa
110,Ada Gempa Begini Nasib Penumpang Operasional MRT
111,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
112,"MRT Jakarta Mendadak Berhenti Saat Gempa ,4 SR"
113,Model Used Google Pixel XL gb Panda FULLSET- Box Fast charge adapter and cable manual book Condition /10 Rm1250 Warranty Sebulan Cod Bangi Gateway Cod berbayar RM29 stesen ktm/lrt/mrt Pos J amp T RM10 Semenanjung amp RM20 S/Sarawak
114,Perjalanan MRT KA Jarak Jauh Terhenti Akibat Gempa Banten
115,Tadi gempa trs gue tbtb mikir 'yg lg pd nntn bioskop gmn ya 'yg lg MRT sm KRL gimana ya
116,Pukul :00 WIB Rupiah Semakin Lemah Rp 15/US Coba Ngingatin Aja Pak Jokow…
117,Di pantai gempa tektonik gunung gempa vulkanik Ada gempa gempa MRT
118,Apasal kat MRT terngiang ngiang bunyi anak babi whining dah trauma bunyi anak babi Hahaha
119,Menggunakan uang negara drpd mrt jakarta Seperti kota '' wilayah timur indonesia yg butuh peningkatan
120,Ada MRT praktis amp nyaman ... disiapkan JakLingko bus TransJakarta terintegrasi feeder bus ber-AC amp angkot.…
121,kantor mobil pribadi transjakarta mrt… jujur…
122,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
123,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
124,bus T103 bergerak jam MRT sungai buloh
125,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
126,Gempa Guncang Jakarta Bikin Kereta MRT Delay
127,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
128,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
129,Tiba-tiba MRT berhenti Tak pemberitahuan terkait penyebab berhentinya MRT
130,Kalau kau kerja lrt ngan mrt kau mesti bersyukur byk kerja kat mrt
131,Naik mrt kene redah damansara kot Penat oi Mau sejam
132,Gempa Guncang Jakarta Bikin Kereta MRT Delay
133,kalo parkir pajak org simpan mobil rumah enak MRT jalan sehat ... sayangnya org melayu utamanya org msh suka mobil suka pamer malas jalan kaki ...
134,Sesungguhnya kalo taichan mesen temen sih Aku tinggal makan doang Posisinya tuh deket perbatasan warung baliknya Duh jaman mrt dibangun
135,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
136,Suasana MRT jakarta pasca gempa SR Banten
137,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
138,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
139,MRT perlukan perhatian malam ni ... Silalah bergerak
140,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
141,ni mrt sauna
142,Sesaat gempa pikir stasiun MRT bergoyang bawahnya Saya berpose MRT Cipete Raya mendoakan semoga baik-baik selamat sejahtera sentosa Aaammmiiiin
143,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
144,Aah nak MRT Kajang announce nasib Haha
145,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
146,Tengok live location kat Naik MRT Kajang
147,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
148,Tiba-tiba MRT berhenti Tak pemberitahuan terkait penyebab berhentinya MRT
149,merasakan tynakanna influencer2 kalo event pi/gi mrt lengkap pakaian rapih yg panas bgt amp heels YG TERNYATA PEGEL BGT
150,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
151,Ini dapet assignment Pak Park nyebarin ngumpulin kuisioner pengguna MRT Lah gue sih gak ngerti guenya Temenin doang ngasih kuisioner aja udah Gue anter jemput kasih makan kasih sayang ... Please ...
152,Wo iya Seungwoo Ada bujank Tumben chat maunya nih Besok temenin stasiun MRT Boss moon maap besok weekend ya Plis dihitung lembur Harus gue banget Gyul Gue maunya elo Please Ngapain sih
153,Tiba-tiba MRT berhenti Tak pemberitahuan terkait penyebab berhentinya MRT
154,Hari pake transportasi ya transjkt mrt krl grab gempor kakinya
155,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
156,pas gempa MRT nih Tara berasa euy
157,Ga diberhentiin MRT sm busway diberhentiin
158,Pasca Gempa MRT Kembali Beroperasi
159,Operasional MRT terhenti akibat gempa normal
160,Aneh bgt mrt benhil setiabudi pake kaos sendal jepit nenteng styrofoam dibungkus plastik ok guys i kno its no good for our environment but im literally the ugliest mrt passanger in town
161,Sempat Berhenti Operasional MRT Kembali Normal Usai Gempa
162,Stasiun mrt mbak wkwkw
163,🤣ri do lwa mungana
164,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
165,Di kapsul hotel Jalan Besar sih.. The Star tuh tp gpp hotelku deket stasiun MRT halte untungnya moga ga lupa jalan kesana pls kabar2i ya disana kudu meet up pokoknyaaa
166,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
167,Ngeri pas gempa posisi mrt tanah
168,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
169,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
170,Segaenak mba-mba ga sengaja nyenggol kuah soto ampe tumpah kena jeans aing spontan nyeletuk `` BANGKONG '' Dan kedengeran mbanya Eh MRT mba-mba duduk sebelah sepatunya ngotorin celana aing maaf aja engga Ingin marah
171,Rm suga et jk
172,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
173,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
174,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
175,Aku abis cek up kaki skrg Mau jln jln mrt sm mom and dad️🧡 yey kereta
176,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
177,Gempa Terasa Jakarta MRT Sempat Berhenti Menit
178,Pengecekan keamanan MRT Jakarta
179,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
180,Kebodohan Ojan the series Tap gate MRT pake KTP Pantes bunyi mulu
181,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta ht…
182,Gempa Banten Penumpang Lihat Kabel Atas MRT Ikut Bergoyang
183,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
184,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
185,Operasional MRT Jakarta berhenti gempa Kini operasional normal …
186,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
187,Lagi mrt Terus mrt nya ketahan sumpah serem bgt
188,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
189,Operasional MRT Jakarta berhenti gempa Kini operasional normal
190,Goresan cucuk canting kain batik meter salah peron Stasiun MRT Bundaran HI Jakarta
191,Bahana On MRT Stage nihh Jumat kali nyanyi-nyanyi Stasiun MRT Dukuh Atas bareng THE RAIN Yeaayy Absen aja nih teman bahana seru-seruan bareng Gimana…
192,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
193,Usai Gempa MRT Kembali Berjalan Normal
194,from repost_media_app Kemarin tanggal Agustus stasiun MRT Bundaran HI Bapak Presiden Joko Widodo Ibu Iriana menorehkan “ Malam ” kain…
195,Salam sejahtera sorry lari tajuk.. train rawang mrt sebelah pagi trip Dalam lingkuan jam
196,Layanan MRT Sempat Terhenti Gempa Banten
197,Tim Operasional MRT Jakarta pemeriksaan kondisi stasiun fasilitas MRT Jakarta d…
198,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
199,Yg MRT jalur tanah pas gempa td yg ya
200,ngaruh lah.. biar mikir kaga bawa kendaraan pribadi.. biar naek kendaraan umun comuter.. bus.lrt mrt
201,Lagi mrt bareng temen yg br dtg dr lombok panik `` Eh gempa gempa '' Terus `` engga keretanya jalan ajaa '' Ternyata gempa beneran ... ... Emang sensitivitas orang lombok gempa
202,MRT dihentikan menit detik gempa
203,Lah iya Ga kebayang pas gempa kitanya MRT stasiun tanahnya
204,Padahal polusi akibatkan nya pohon tebang utk pembangunan MRT nya galakan penghijauan Jakarta
205,"Imbas gempa bermagnitudo ,4 Jakarta kereta MRT Jakarta berhenti beroperasi"
206,Gempa Terasa Jakarta MRT Sempat Berhenti Menit
207,MRT dihentikan menit detik gempa
208,mrt sg buloh T102 paya jaras sungai buloh
209,"Gempa ,4 magnitudo berpusat Sumur Banten"
210,MRT Jakarta beroperasi headway normal menit Terima kasih
211,Kejadian gempa jalan kaki tangga stasiun MRT ga berasa nyelonong aja diem peron MRT udah lihat yg diem ditangga wkwk
212,Yaaaa naiknya supir pulang mrt APAKAH KAMU IYAA
213,Hayo mrt manaaa wkwkwkkw
214,"Imbas gempa bermagnitudo ,4 Jakarta kereta MRT Jakarta berhenti beroperasi"
215,"Imbas gempa bermagnitudo ,4 Jakarta kereta MRT Jakarta berhenti beroperasi"
216,kayaknya mrt ketemu uda ivan lanin deh doang kali ya
217,"Imbas gempa bermagnitudo ,4 Jakarta kereta MRT Jakarta berhenti beroperasi"
218,I 'm at RapidKL Pasar Seni SBK16 MRT Station in Kuala Lumpur 吉隆坡
219,Tapi asli ya udah mager gimana Gue pas MRT antrian escalator sebelah tangga kosong pol
220,Harusnya ya Karna nempel bet ama MRT Mending beli kalo emang beli Belom group penghuni jual orang harga pasaran M murah harga pasaran
221,Tim Operasional MRT Jakarta pemeriksaan kondisi stasiun fasilitas MRT Jakarta d…
222,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
223,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
224,well MRT skip selayang hospital stadium orang ramai membeli belah dah kenapa…
225,g apanya dbandingno duta MRT
226,Pengecekan keamanan MRT Jakarta
227,"Imbas gempa bermagnitudo ,4 Jakarta kereta MRT Jakarta berhenti beroperasi"
228,Taunya lgsg terdengar sirine security on board mrt ngomong “ harap tenang tunggu intruksi ”
229,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
230,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
231,Akhirnya kereta diberhentiin stasiun fatmawati stasiun Jalur mrt pegangan bumi buminya goyang
232,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
233,Hm tau nih jam brpnya Bsk brgkt krl trs turun sudirman Abis nyambung mrt dukuh gitu sihh Kayaknya sih jam udah mrt dukuh
234,Waktu gempa Ara didalem mrt jalan belokan stasiun fatmawati arah cipete Kebayang gak setakut kaya film2 disaster gt Pantesan aneh keretanya goyang tp geter kenceng ku gangguan listrik gmn Gatau gempa
235,MRT dihentikan menit detik gempa
236,Pukul :00 WIB Rupiah Semakin Lemah Rp 15/US Coba Ngingatin Aja Pak Jokow…
237,Niatkanlah dirimu utk bertaubat jg krn takut manit kdepan nyawa kt sdh melayang Mrt rehat sahabat fillahku jgn lupa tahajud perbnyk ibadah sedekah utk kedepan jgn lewatkn bibir utk sll dzikrullah sholawat ak sll ad d /3 mlm
238,Ini bawahnya MRT bro
239,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
240,Pukul :00 WIB Rupiah Semakin Lemah Rp 15/US Coba Ngingatin Aja Pak Jokow…
241,Di eskalator stasiun mrt kiri diem kanan jalan Orang2 commuter aja belom nerapin
242,MRT dihentikan menit detik gempa
243,hehehe maksudnya gimana menyelamatkan MRT kalo emergency gitu
244,Aku abis cek up kaki skrg Mau jln jln mrt sm mom and dad️🧡 yey kereta
245,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
246,MRT dihentikan menit detik gempa
247,bus Serangoon MRT Interchange NE12/CC13 in Singapore
248,Teman MRT meningkatkan kenyamanan pengguna MRT Jakarta mari peduli menaati a…
249,Dimana MRT ma Barusan gempa mama nyuci piring panci goyang emang gak keluar…
250,Meluo selfie mbak ben eneng konco ngobroool mohon maap y mrt jakarta ki menit e pfff
251,bsk mo mrt heuheuheu
252,well MRT skip selayang hospital stadium orang ramai membeli belah dah kenapa…
253,Punyalah rancak berborak akak mrt ni je nampak akak tu No wonder org pandang sem…
254,Mengguncang Jakarta Layanan MRT Sempat Terhenti
255,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
256,Model iPhone Red gb LL set FULLSET Rm1990 Condition /10 Warranty Sebulan Cod Bangi Gateway Cod berbayar RM29 stesen ktm/lrt/mrt Pos J amp T RM10 Semenanjung amp RM20 S/S
257,MRT Jakarta beroperasi headway normal menit Terima kasih
258,Car Fire E018 Ssgt Macario Garcia Dr :28
259,Tadi didalam MRT pas gempa gak berasa krn duduk yaa
260,Angkot Transjakarta MRT Commuter Line 🤩
261,MRT Jakarta beroperasi headway normal menit Terima kasih
262,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
263,Dimana MRT ma Barusan gempa mama nyuci piring panci goyang emang gak keluar…
264,iPhone Plus Red Product gb LL set FULLSET RM1750 Condition /10 Warranty Sebulan Cod Bangi Gateway Cod berbayar RM29 stesen ktm/lrt/mrt Pos J amp T RM10 Semenanjung amp RM20 S/S
265,Tahu kah Teman MRT Jalur MRT Jakarta membentang Km Stasiun Lebak Bulus Grab Stasiun Bu…
266,Goresan cucuk canting kain batik meter peron Stasiun MRT Bundaran HI siang tanda dim…
267,Gempa MRT Jakarta berhenti beroperasi
268,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
269,Muka org penat je dlm mrt ni
270,Dimana MRT ma Barusan gempa mama nyuci piring panci goyang emang gak keluar…
271,"Gempa ,4 magnitudo berpusat Sumur Banten"
272,Layanan MRT Sempat Terhenti Menit Akibat Gempa Banten Menimbulkan kepanikan Stasiun ASEAN gt gt
273,Aku stasiun Istora MRT diberhentikan
274,Saya ayena keur karawci besok atuh..saya pengker setasiun MRT
275,Cape ya U gtw banyaknya tangga stasiun mrt
276,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
277,"Gempa ,4 magnitudo berpusat Sumur Banten"
278,Wah pas gempa mrt langsung berhenti Ga kebayang kalo gue mrt
279,well MRT skip selayang hospital stadium orang ramai membeli belah dah penumpang shuuuh pergi main jauh2
280,Jadi penasaran yg stasiun tanah mrt gimana ya berasa
281,Akhirnya pake MRT ajalah ga dapet2 taksi
282,MRT udah beroperasi normal Tadi barusan HI Senayan Deg-degan sih takut gempa susulan
283,Pukul :00 WIB Rupiah Semakin Lemah Rp 15/US Coba Ngingatin Aja Pak Jokow…
284,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
285,Sempat Terhenti Karena Gempa Banten MRT Sudah Kembali Normal Aman
286,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
287,Dari gambir HI nya gak busway blok m-kota dri gambir turun Halte bundaran HI MRT Atau langsung aja busway gak turun HI utk MRT kalo gak turun transportasi
288,tuh pas abis Blok M Square mampir Pondok Senopati Bu Lili salah stall penjual capjay favorite with reasonable price bayar pake ovo cashback trus pulang MRT Sbux Lotte Fatmawati like yall already knew
289,pas naek mrt kemaren
290,USED iPhone s Space Grey gb LL set FULLSET Price RM800 Warranty Sebulan by MyPhone Valley Cod Bangi Gateway C…
291,Ga ngebayangin kalo gempanya td dlm MRT 🥺
292,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
293,Pukul :00 WIB Rupiah Semakin Lemah Rp 15/US Coba Ngingatin Aja Pak Jokow…
294,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
295,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
296,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
297,Mengguncang Jakarta Layanan MRT Sempat Terhenti
298,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
299,Gempa Mengguncang Jakarta Layanan MRT Sempat Terhenti
300,Tim Operasional MRT Jakarta pemeriksaan kondisi stasiun fasilitas MRT Jakarta d…
301,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
302,Bisa MRT horeeeee Pengen cobaaa
303,"Sempat Berhenti MRT Jakarta Kembali Beroperasi Normal Pasca Gempa ,4 SR"
304,Sehubungan gempa bumi malam 2/8/19 Jakarta informasikan…
305,"BREAKING NEWS Guncangan Gempa Terasa Jakarta MRT Sempat Berhenti Beroperasi Guncangan gempa M ,4 Banten Jakarta MRT Jakarta berhenti beroperasi akibat gempa `` Kereta MRT…"
306,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
307,Kereta MRT berhenti beroperasi beroperasi headway delay menit detik
308,"Guncangan gempa M ,4 Banten dirasakan warga Jakarta menumpangi MRT"
309,MRT berasa gempa ya KRL mah kagak wqwq
310,lu mrt Terjebak mrt engga gue terjebak nostalgia BODO AMAT
